cve_id,state,vendor,package,ecosystem,owner,owner_nameable,owner_tier,owner_method,self_disclosed,rule,rule_strength,rule_basis,days_public,hours_public,past_expectation,public_date,feed_count,sources,advisory_url,refs,description
CVE-2025-30083,RESERVED,,codingms/additional-tca,Packagist,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,519,12456,True,2025-03-19,1,osv,https://osv.dev/list?q=CVE-2025-30083,osv:Packagist:codingms/additional-tca,Additional TCA Allows Cross-Site Scripting (XSS)
CVE-2025-30081,RESERVED,,clickstorm/cs-seo,Packagist,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,519,12456,True,2025-03-19,1,osv,https://osv.dev/list?q=CVE-2025-30081,osv:Packagist:clickstorm/cs-seo,Clickstorm SEO Allows Cross-Site Scripting (XSS)
CVE-2025-2792,RESERVED,,@mozilla/readability,npm,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,512,12288,True,2025-03-26,1,osv,https://osv.dev/list?q=CVE-2025-2792,osv:npm:@mozilla/readability,@mozilla/readability Denial of Service through Regex
CVE-2025-28269,RESERVED,,js-object-utilities,npm,mitre,True,block,block-k3,False,4.5.1.6,SHOULD,inferred-owner,500,12000,True,2025-04-07,1,osv,https://osv.dev/list?q=CVE-2025-28269,osv:npm:js-object-utilities,js-object-utilities Vulnerable to Prototype Pollution
CVE-2025-23390,RESERVED,,github.com/rancher/fleet,Go,suse,True,block,block-k3,False,4.5.1.6,SHOULD,inferred-owner,482,11568,True,2025-04-25,1,osv,https://osv.dev/list?q=CVE-2025-23390,osv:Go:github.com/rancher/fleet,Fleet doesn’t validate a server’s certificate when connecting through SSH
CVE-2025-41419,RESERVED,,ms-swift,PyPI,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,385,9240,True,2025-07-31,1,osv,https://osv.dev/list?q=CVE-2025-41419,osv:PyPI:ms-swift,MS SWIFT WEB-UI RCE Vulnerability
CVE-2025-9141,RESERVED,Red Hat,vllm,PyPI,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,365,8760,True,2025-08-20,2,"osv,redhat",https://access.redhat.com/security/cve/CVE-2025-9141,osv:PyPI:vllm;redhat:CVE-2025-9141,vllm: quen3: RCE in vllm tool call parser for qwen3coder
CVE-2025-11058,RESERVED,,xml2rfc,PyPI,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,359,8616,True,2025-08-26,1,osv,https://osv.dev/list?q=CVE-2025-11058,osv:PyPI:xml2rfc,xml2rfc has an arbitrary file read vulnerability
CVE-2025-11059,RESERVED,,xml2rfc,PyPI,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,344,8256,True,2025-09-10,1,osv,https://osv.dev/list?q=CVE-2025-11059,osv:PyPI:xml2rfc,xml2rfc is vulnerable to arbitrary file reads through prepped files
CVE-2025-61620,RESERVED,Red Hat,vllm,PyPI,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,317,7608,True,2025-10-07,2,"osv,redhat",https://access.redhat.com/security/cve/CVE-2025-61620,osv:PyPI:vllm;redhat:CVE-2025-61620,vllm: vLLM OpenAI-Compatible Server Resource Exhaustion via chat_template Parameters
CVE-2025-65852,RESERVED,,gogs.io/gogs,Go,mitre,True,block,block-k3,False,4.5.1.6,SHOULD,inferred-owner,195,4680,True,2026-02-06,1,osv,https://osv.dev/list?q=CVE-2025-65852,osv:Go:gogs.io/gogs,Gogs has authorization bypass in repository deletion API
CVE-2026-2574,RESERVED,Red Hat,glib-networking,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,185,4440,True,2026-02-16,3,"alas,debian,redhat",https://access.redhat.com/security/cve/CVE-2026-2574,alas:CVE-2026-2574;debian:glib-networking;redhat:CVE-2026-2574,A flaw was found in glib-networking. A malicious Transport Layer Security (TLS) server can exploit an out-of-bounds read and invalid free vulnerability when a client using the Open
