cve_id,state,days_public,hours_public,public_date,clock_known,past_expectation,rule,rule_strength,rule_certainty,rule_basis,self_disclosed,own_feed_date,earliest_other_date,owner_nameable,veto_evaluated,clock_origin,advisory_date,advisory_days_public,sources,feed_count,indep_sources,single_origin,refs,advisory_url,vendor,package,ecosystem,description,state_verified_this_run
CVE-2025-0094,RESERVED,569,13656,2025-02-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-02-01,569,osv,1,1,True,osv:Android:platform/packages/apps/Settings,https://osv.dev/list?q=CVE-2025-0094,,platform/packages/apps/Settings,Android,"In onCreateOptionsMenu of UserSettings.java, there is a possible way to remove the work profile by opening a hidden activity due to a logic error in the code.",True
CVE-2025-0095,RESERVED,569,13656,2025-02-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-02-01,569,osv,1,1,True,osv:Android:platform/packages/apps/Settings,https://osv.dev/list?q=CVE-2025-0095,,platform/packages/apps/Settings,Android,"In AppTimeSpentPresenter of AppTimeSpentPreference.kt, there is a possible way to hijack implicit intent.",True
CVE-2025-0096,RESERVED,569,13656,2025-02-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-02-01,569,osv,1,1,True,osv:Android:platform/hardware/st/nfc,https://osv.dev/list?q=CVE-2025-0096,,platform/hardware/st/nfc,Android,"In handlePollingLoopData of hal_fwlog.cc, there is a possible out of bounds write due to a heap buffer overflow.",True
CVE-2025-0097,RESERVED,569,13656,2025-02-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-02-01,569,osv,1,1,True,osv:Android:platform/frameworks/base,https://osv.dev/list?q=CVE-2025-0097,,platform/frameworks/base,Android,"In transferTouchGesture of WindowManagerService.java , there is a possible way to steal sensitive user input due to a logic error in the code.",True
CVE-2025-0091,RESERVED,569,13656,2025-02-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-02-01,569,osv,1,1,True,osv:Android:platform/packages/apps/Settings,https://osv.dev/list?q=CVE-2025-0091,,platform/packages/apps/Settings,Android,"In isSafeIntent of AccountManagerService.java, there is a possible way to bypass an intent type check due to a confused deputy.",True
CVE-2025-0098,RESERVED,569,13656,2025-02-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-02-01,569,osv,1,1,True,osv:Android:platform/frameworks/base,https://osv.dev/list?q=CVE-2025-0098,,platform/frameworks/base,Android,"In multiple functions of TaskFragmentOrganizerController.java, there is a possible token leak due to a logic error in the code.",True
CVE-2025-0099,RESERVED,569,13656,2025-02-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-02-01,569,osv,1,1,True,osv:Android:platform/frameworks/base,https://osv.dev/list?q=CVE-2025-0099,,platform/frameworks/base,Android,"In multiple functions of CompanionDeviceManagerService.java, there is a possible way to grant permissions due to a logic error in the code.",True
CVE-2025-0100,RESERVED,569,13656,2025-02-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-02-01,569,osv,1,1,True,osv:Android:platform/frameworks/base,https://osv.dev/list?q=CVE-2025-0100,,platform/frameworks/base,Android,"In onCreate of MediaProjectionPermissionActivity.java, there is a possible way to bypass user consent due to a missing permission check.",True
CVE-2025-0088,RESERVED,569,13656,2025-02-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-02-01,569,osv,1,1,True,osv:Android::linux_kernel:,https://osv.dev/list?q=CVE-2025-0088,,,Android,"In multiple functions of mremap.c, there is a possible use-after-free scenario in physical memory due to a race condition.",True
CVE-2025-0085,RESERVED,569,13656,2025-02-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-02-01,569,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-0085,,,Android,"In registerCallback of BatteryMitigationAidl.cpp, there is a possible out of bounds read due to a missing bounds check.",True
