cve_id,state,days_public,hours_public,public_date,public_date_origin,clock_known,rule,rule_strength,rule_certainty,rule_basis,self_disclosed,owner_nameable,veto_evaluated,clock_origin,advisory_date,advisory_days_public,sources,feed_count,refs,source_urls,package,ecosystem,description,state_verified_this_run
CVE-2024-0234,RESERVED,973,23352,2024-01-04,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-01-04,973,"csaf,redhat",2,csaf:Red Hat Product Security	CVE-2024-0234	https://security.access.redhat.com/data/csaf/v2/vex/2024/cve-2024-0234.json;redhat:CVE-2024-0234,"{""csaf"": ""https://security.access.redhat.com/data/csaf/v2/vex/2024/cve-2024-0234.json"", ""redhat"": ""https://access.redhat.com/security/cve/CVE-2024-0234""}",CVE-2024-0234,,podman-desktop: Code injection Through Electron Fuses,true
CVE-2024-23176,RESERVED,963,23112,2024-01-14,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-01-14,963,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0083	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0083.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0083.json""}",,,CVE-2024-23176,true
CVE-2024-23552,RESERVED,942,22608,2024-02-04,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-02-04,942,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0290	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0290.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0290.json""}",,,CVE-2024-23552,true
CVE-2024-1314,RESERVED,938,22512,2024-02-08,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-02-08,938,"ghsa,osv",2,ghsa:GHSA-hvp4-vrv2-8wrq;osv:PyPI:kinto-attachment,"{""ghsa"": ""https://github.com/advisories/GHSA-hvp4-vrv2-8wrq"", ""osv"": ""https://osv.dev/list?q=CVE-2024-1314""}",kinto-attachment,PyPI,Kinto Attachment's attachments can be replaced on read-only records,true
CVE-2024-26048,RESERVED,905,21720,2024-03-12,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-03-12,905,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0616	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0616.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0616.json""}",,,CVE-2024-26048,true
CVE-2024-30173,RESERVED,885,21240,2024-04-01,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-04-01,885,"csaf,ghsa,osv",3,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0754	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0754.json;ghsa:GHSA-hhf8-f5w9-g6vh;osv:Packagist:causal/oidc,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0754.json"", ""ghsa"": ""https://github.com/advisories/GHSA-hhf8-f5w9-g6vh"", ""osv"": ""https://osv.dev/list?q=CVE-2024-30173""}",causal/oidc,Packagist,OpenID Connect Authentication (oidc) Typo3 extension Authentication Bypass,true
CVE-2024-28661,RESERVED,882,21168,2024-04-04,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-04-04,882,"alpine,csaf",2,alpine:ffmpeg;csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0790	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0790.json,"{""alpine"": ""https://security.alpinelinux.org/vuln/CVE-2024-28661"", ""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0790.json""}",ffmpeg,,CVE-2024-28661,true
CVE-2024-28055,RESERVED,877,21048,2024-04-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-04-09,877,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0845	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0845.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0845.json""}",,,CVE-2024-28055,true
CVE-2024-3324,RESERVED,877,21048,2024-04-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-04-09,877,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0836	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0836.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0836.json""}",,,CVE-2024-3324,true
CVE-2024-3326,RESERVED,877,21048,2024-04-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-04-09,877,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0836	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0836.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0836.json""}",,,CVE-2024-3326,true
CVE-2024-3327,RESERVED,877,21048,2024-04-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-04-09,877,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0836	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0836.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0836.json""}",,,CVE-2024-3327,true
CVE-2024-26320,RESERVED,868,20832,2024-04-18,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-04-18,868,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0933	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0933.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0933.json""}",,,CVE-2024-26320,true
CVE-2024-26321,RESERVED,868,20832,2024-04-18,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-04-18,868,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0933	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0933.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0933.json""}",,,CVE-2024-26321,true
CVE-2024-26322,RESERVED,868,20832,2024-04-18,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-04-18,868,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0933	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0933.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0933.json""}",,,CVE-2024-26322,true
CVE-2024-26325,RESERVED,868,20832,2024-04-18,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-04-18,868,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0933	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0933.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0933.json""}",,,CVE-2024-26325,true
CVE-2024-26326,RESERVED,868,20832,2024-04-18,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-04-18,868,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-0933	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0933.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-0933.json""}",,,CVE-2024-26326,true
CVE-2024-23694,RESERVED,855,20520,2024-05-01,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-01,855,"csaf,osv",2,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1065	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1065.json;osv:Android::unknown:,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1065.json"", ""osv"": ""https://osv.dev/list?q=CVE-2024-23694""}",,Android,"In multiple locations, there is a possible way to use a paired Bluetooth LE audio device to achieve code execution due to a use after free.",true
CVE-2024-34456,RESERVED,851,20424,2024-05-05,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-05,851,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1028	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1028.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1028.json""}",,,CVE-2024-34456,true
CVE-2024-33861,RESERVED,849,20376,2024-05-07,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-07,849,csaf,1,csaf:SUSE Product Security Team	CVE-2024-33861	https://ftp.suse.com/pub/projects/security/csaf-vex/cve-2024-33861.json,"{""csaf"": ""https://ftp.suse.com/pub/projects/security/csaf-vex/cve-2024-33861.json""}",,,CVE-2024-33861,true
